	BioProject	BioSample	Body_Site	project	base_media	treatment	growth_phase	isolate	reference_condition	skip	OD-600	NOTES	InsertDev	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LibraryStrategy	Manual Strain	Model	Platform	Project	ProjectID	ReleaseDate	Run	SRAStudy	Sample	ScientificName	Submission	TaxID	class_tax_id	species	species_tax_id	strain_tax_id	R1	R2	Swift	Treatment	full_name	passed_fastqc	passed_global_correlation	passed_number_replicates	passed_reads_mapped_to_CDS	passed_similar_replicates	condition_name	project_name	CenterName	Notes	SRA ID	Biosample	GEO Series	GEO Sample	PMID	passed_replicate_correlations	genetic_changes	name	condition
SRX5505134	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.65ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710736	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.65ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.65ug/mL Vancomycin;exp;LAC;WT
SRX5505135	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.7ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710734	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.7ug/mL Vancomycin;exp;LAC;WT
SRX5505136	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.7ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710733	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.7ug/mL Vancomycin;exp;LAC;WT
SRX5505137	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	Control	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710732	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:Control:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;Control;exp;LAC;WT
SRX5505138	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.65ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710735	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.65ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.65ug/mL Vancomycin;exp;LAC;WT
SRX5505139	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.7ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710731	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.7ug/mL Vancomycin;exp;LAC;WT
SRX5505140	PRJNA526539	SAMN09103979		lac vanco	CA-MHB	0.7ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710730	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:CA-MHB:0.7ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		CA-MHB;0.7ug/mL Vancomycin;exp;LAC;WT
SRX5505141	PRJNA526539	SAMN09103979		lac vanco	RPMI+10%LB	0.6ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710729	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:RPMI+10%LB:0.6ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		RPMI+10%LB;0.6ug/mL Vancomycin;exp;LAC;WT
SRX5505142	PRJNA526539	SAMN09103979		lac vanco	RPMI+10%LB	0.8ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710728	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:RPMI+10%LB:0.8ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		RPMI+10%LB;0.8ug/mL Vancomycin;exp;LAC;WT
SRX5505143	PRJNA526539	SAMN09103979		lac vanco	RPMI+10%LB	0.8ug/mL Vancomycin	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710727	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:RPMI+10%LB:0.8ug/mL Vancomycin:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		RPMI+10%LB;0.8ug/mL Vancomycin;exp;LAC;WT
SRX5505144	PRJNA526539	SAMN09103979		lac vanco	RPMI+10%LB	None	exp	LAC	Control			PNAS StaphICA data	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 4000	ILLUMINA		526539	2019-03-12 02:04:33	SRR8710726	SRP188138	SRS3283680	Staphylococcus aureus	SRA858631	1280			1208						lac vanco:RPMI+10%LB:None:Exponential:LAC:WT	True	True		True				UNIVERSITY OF CALIFORNIA- SAN DIEGO							True	WT		RPMI+10%LB;None;exp;LAC;WT
SRX5797722	PRJNA541320	SAMN11582919		delta-mgrA	TSB	Control	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019614	SRP195622	SRS4728856	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Control:Exponential:LAC:WT	True	True		True				GEO							True	WT		TSB;Control;exp;LAC;WT
SRX5797723	PRJNA541320	SAMN11582918		delta-mgrA	TSB	Control	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019615	SRP195622	SRS4728857	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Control:Exponential:LAC:WT	True	True		True				GEO							True	WT		TSB;Control;exp;LAC;WT
SRX5797724	PRJNA541320	SAMN11582917		delta-mgrA	TSB	Control	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019616	SRP195622	SRS4728858	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Control:Exponential:LAC:WT	True	True		True				GEO							True	WT		TSB;Control;exp;LAC;WT
SRX5797725	PRJNA541320	SAMN11582916		delta-mgrA	TSB	Mutant	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019617	SRP195622	SRS4728859	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Mutant:Exponential:LAC:Delta-mgrA	True	True		True				GEO							True	Delta-mgrA		TSB;Mutant;exp;LAC;Delta-mgrA
SRX5797726	PRJNA541320	SAMN11582915		delta-mgrA	TSB	Mutant	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019618	SRP195622	SRS4728860	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Mutant:Exponential:LAC:Delta-mgrA	True	True		True				GEO							True	Delta-mgrA		TSB;Mutant;exp;LAC;Delta-mgrA
SRX5797727	PRJNA541320	SAMN11582914		delta-mgrA	TSB	Mutant	exp	LAC	Control				0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2000	ILLUMINA		541320	5/7/2019 15:38	SRR9019619	SRP195622	SRS4728861	Staphylococcus aureus subsp. aureus USA300	SRA883326	367830	91061	Staphylococcus aureus	1280	367830					delta-mgrA:TSB:Mutant:Exponential:LAC:Delta-mgrA	True	True		True				GEO							True	Delta-mgrA		TSB;Mutant;exp;LAC;Delta-mgrA
SRX5806783	PRJNA541911	SAMN11604593		delta-arlRS	TSB	Control	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:09	SRR9029358	SRP197080	SRS4736253	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Control:Stationary:AH1263:WT	True	True		True		Control									True	WT		TSB;Control;stat;AH1263;WT
SRX5806784	PRJNA541911	SAMN11604592		delta-arlRS	TSB	Control	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:09	SRR9029359	SRP197080	SRS4736254	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Control:Stationary:AH1263:WT	True	True		True		Control									True	WT		TSB;Control;stat;AH1263;WT
SRX5806785	PRJNA541911	SAMN11604591		delta-arlRS	TSB	Control	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:09	SRR9029360	SRP197080	SRS4736255	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Control:Stationary:AH1263:WT	True	True		True		Control									True	WT		TSB;Control;stat;AH1263;WT
SRX5806786	PRJNA541911	SAMN11604590		delta-arlRS	TSB	Mutant	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:10	SRR9029361	SRP197080	SRS4736256	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Mutant:Stationary:AH1263:Delta-arlRS	True	True		True		KO									True	Delta-arlRS		TSB;Mutant;stat;AH1263;Delta-arlRS
SRX5806787	PRJNA541911	SAMN11604589		delta-arlRS	TSB	Mutant	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:10	SRR9029362	SRP197080	SRS4736257	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Mutant:Stationary:AH1263:Delta-arlRS	True	True		True		KO									True	Delta-arlRS		TSB;Mutant;stat;AH1263;Delta-arlRS
SRX5806788	PRJNA541911	SAMN11604588		delta-arlRS	TSB	Mutant	stat	AH1263	Control		1.5		0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA		541911	2020-04-29 16:34:10	SRR9029363	SRP197080	SRS4736258	Staphylococcus aureus subsp. aureus USA300	SRA884199	91061	91061	Staphylococcus aureus	1280	367830			False		delta-arlRS:TSB:Mutant:Stationary:AH1263:Delta-arlRS	True	True		True		KO									True	Delta-arlRS		TSB;Mutant;stat;AH1263;Delta-arlRS
SRX5972865	PRJNA546264	SAMN11958517		delta-purR	TSB	Mutant	stat	FPR3757	Control			FPR3757; Publication says FPR3757	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		546264	6/12/2019 16:13	SRR9201337;SRR9201338;SRR9201339;SRR9201340	SRP200402	SRS4876936	Staphylococcus aureus	SRA894097	1280	91061	Staphylococcus aureus	1280	1280					delta-purR:TSB:Mutant:Stationary:FPR3757:bursa::purR	True	True		True											True	bursa::purR		TSB;Mutant;stat;FPR3757;bursa::purR
SRX5972867	PRJNA546264	SAMN11958515		delta-purR	TSB	Mutant	stat	FPR3757	Control			FPR3757; Publication says FPR3757	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		546264	6/12/2019 16:13	SRR9201357;SRR9201358;SRR9201359;SRR9201360	SRP200402	SRS4876941	Staphylococcus aureus	SRA894097	1280	91061	Staphylococcus aureus	1280	1280					delta-purR:TSB:Mutant:Stationary:FPR3757:bursa::purR	True	True		True											True	bursa::purR		TSB;Mutant;stat;FPR3757;bursa::purR
SRX5972868	PRJNA546264	SAMN11958514		delta-purR	TSB	Mutant	stat	FPR3757	Control			FPR3757; Publication says FPR3757	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		546264	6/12/2019 16:13	SRR9201353;SRR9201354;SRR9201355;SRR9201356	SRP200402	SRS4876940	Staphylococcus aureus	SRA894097	1280	91061	Staphylococcus aureus	1280	1280					delta-purR:TSB:Mutant:Stationary:FPR3757:bursa::purR	True	True		True											True	bursa::purR		TSB;Mutant;stat;FPR3757;bursa::purR
SRX5972869	PRJNA546264	SAMN11958513		delta-purR	TSB	Control	exp	FPR3757	Control			FPR3757; Publication says FPR3757	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		546264	6/12/2019 16:13	SRR9201349;SRR9201350;SRR9201351;SRR9201352	SRP200402	SRS4876939	Staphylococcus aureus	SRA894097	1280	91061	Staphylococcus aureus	1280	1280					delta-purR:TSB:Control:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Control;exp;FPR3757;WT
SRX5972870	PRJNA546264	SAMN11958512		delta-purR	TSB	Control	exp	FPR3757	Control			FPR3757; Publication says FPR3757	0	0	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina MiSeq	ILLUMINA		546264	6/12/2019 16:13	SRR9201345;SRR9201346;SRR9201347;SRR9201348	SRP200402	SRS4876938	Staphylococcus aureus	SRA894097	1280	91061	Staphylococcus aureus	1280	1280					delta-purR:TSB:Control:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Control;exp;FPR3757;WT
SRX6877996	PRJNA573047	SAMN12797082		SCFM2	CDM 	20mM glucose	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152598	SRP222773	SRS5413778	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM :20mM glucose:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM ;20mM glucose;exp;LAC;WT
SRX6877997	PRJNA573047	SAMN12797083		SCFM2	CDM 	20mM glucose	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152597	SRP222773	SRS5413779	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM :20mM glucose:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM ;20mM glucose;exp;LAC;WT
SRX6878008	PRJNA573047	SAMN12797084		SCFM2	CDM	20mM glucose	stat	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152586	SRP222773	SRS5413790	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:20mM glucose:Stationary:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;20mM glucose;stat;LAC;WT
SRX6878011	PRJNA573047	SAMN12797104		SCFM2	SCFM2	Mid-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152583	SRP222773	SRS5413793	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Mid-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Mid-log;exp;LAC;WT
SRX6878012	PRJNA573047	SAMN12797105		SCFM2	SCFM2	Mid-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152582	SRP222773	SRS5413794	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Mid-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Mid-log;exp;LAC;WT
SRX6878017	PRJNA573047	SAMN12797110		SCFM2	SCFM2	Late-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152577	SRP222773	SRS5413799	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Late-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Late-log;exp;LAC;WT
SRX6878018	PRJNA573047	SAMN12797111		SCFM2	SCFM2	Late-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152576	SRP222773	SRS5413800	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Late-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Late-log;exp;LAC;WT
SRX6878019	PRJNA573047	SAMN12797085		SCFM2	CDM	20mM glucose	stat	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152575	SRP222773	SRS5413801	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:20mM glucose:Stationary:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;20mM glucose;stat;LAC;WT
SRX6878020	PRJNA573047	SAMN12797112		SCFM2	SCFM2	Late-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152574	SRP222773	SRS5413802	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Late-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Late-log;exp;LAC;WT
SRX6878021	PRJNA573047	SAMN12797113		SCFM2	SCFM2	Late-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152573	SRP222773	SRS5413803	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Late-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Late-log;exp;LAC;WT
SRX6878022	PRJNA573047	SAMN12797114		SCFM2	SCFM2	Late-log	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152572	SRP222773	SRS5413804	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:SCFM2:Late-log:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		SCFM2;Late-log;exp;LAC;WT
SRX6878023	PRJNA573047	SAMN12797086		SCFM2	CDM	20mM glucose	stat	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152571	SRP222773	SRS5413805	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:20mM glucose:Stationary:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;20mM glucose;stat;LAC;WT
SRX6878024	PRJNA573047	SAMN12797087		SCFM2	CDM	Control	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152570	SRP222773	SRS5413806	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:Control:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;Control;exp;LAC;WT
SRX6878025	PRJNA573047	SAMN12797088		SCFM2	CDM	Control	exp	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152569	SRP222773	SRS5413807	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:Control:Exponential:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;Control;exp;LAC;WT
SRX6878026	PRJNA573047	SAMN12797089		SCFM2	CDM	Stationary	stat	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152568	SRP222773	SRS5413808	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:Stationary:Staionary:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;Stationary;stat;LAC;WT
SRX6878027	PRJNA573047	SAMN12797090		SCFM2	CDM	Stationary	stat	LAC	Control			AH1263	0	0	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	USA300	NextSeq 500	ILLUMINA		573047	10/9/2019 0:40	SRR10152567	SRP222773	SRS5413809	Staphylococcus aureus	SRA965416	1280	91061	Staphylococcus aureus	1280	1280					SCFM2:CDM:Stationary:Staionary:LAC:WT	True	True		True				GEORGIA INSTITUTE OF TECHNOLOGY							True	WT		CDM;Stationary;stat;LAC;WT
SRX7088358	PRJNA587170	SAMN13182536		loratadine	TSB	Control	exp	FPR3757	Control			FPR3757	0	0	PAIRED	other	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		587170	11/2/2019 2:12	SRR10387631	SRP228015	SRS5602501	Staphylococcus aureus	SRA988803	1280	91061	Staphylococcus aureus	1280	1280					loratadine:TSB:Control:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Control;exp;FPR3757;WT
SRX7088359	PRJNA587170	SAMN13182536		loratadine	TSB	Control	exp	FPR3757	Control			FPR3757	0	0	PAIRED	other	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		587170	11/2/2019 2:12	SRR10387631	SRP228015	SRS5602501	Staphylococcus aureus	SRA988803	1280	91061	Staphylococcus aureus	1280	1280					loratadine:TSB:Control:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Control;exp;FPR3757;WT
SRX7088362	PRJNA587170	SAMN13182536		loratadine	TSB	Control	exp	FPR3757	Control			FPR3757	0	0	PAIRED	other	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		587170	11/2/2019 2:12	SRR10387631	SRP228015	SRS5602501	Staphylococcus aureus	SRA988803	1280	91061	Staphylococcus aureus	1280	1280					loratadine:TSB:Control:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Control;exp;FPR3757;WT
SRX7088363	PRJNA587170	SAMN13182537		loratadine	TSB	Loratadine	exp	FPR3757	Control			FPR3757	0	0	PAIRED	other	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		587170	11/2/2019 2:12	SRR10387633	SRP228015	SRS5602499	Staphylococcus aureus	SRA988803	1280	91061	Staphylococcus aureus	1280	1280					loratadine:TSB:Loratadine:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Loratadine;exp;FPR3757;WT
SRX7088364	PRJNA587170	SAMN13182538		loratadine	TSB	Loratadine	exp	FPR3757	Control			FPR3757	0	0	PAIRED	other	TRANSCRIPTOMIC	RNA-Seq	USA300	Illumina HiSeq 2500	ILLUMINA		587170	11/2/2019 2:12	SRR10387632	SRP228015	SRS5602500	Staphylococcus aureus	SRA988803	1280	91061	Staphylococcus aureus	1280	1280					loratadine:TSB:Loratadine:Exponential:FPR3757:WT	True	True		True											True	WT		TSB;Loratadine;exp;FPR3757;WT
