All-Genes	Genes in same transcription unit	Accession-1	Left-End-Position	Right-End-Position
USA300HOU_RS12160	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	USA300HOU_RS12160	2368714	2369547
USA300HOU_RS12165	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	USA300HOU_RS12165	2369580	2369855
USA300HOU_RS12170	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	USA300HOU_RS12170	2369855	2370478
USA300HOU_RS12175	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	USA300HOU_RS12175	2370505	2371167
USA300HOU_RS12180	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	USA300HOU_RS12180	2371195	2371503
USA300HOU_RS12185	USA300HOU_RS12185	USA300HOU_RS12185	2371860	2372249
USA300HOU_RS12190	USA300HOU_RS12190	USA300HOU_RS12190	2372441	2373775
USA300HOU_RS12195	USA300HOU_RS12200 // USA300HOU_RS12195	USA300HOU_RS12195	2373888	2376023
USA300HOU_RS12200	USA300HOU_RS12200 // USA300HOU_RS12195	USA300HOU_RS12200	2376049	2376144
USA300HOU_RS12205	USA300HOU_RS12205	USA300HOU_RS12205	2376210	2377097
USA300HOU_RS12210	USA300HOU_RS12210	USA300HOU_RS12210	2377278	2378141
USA300HOU_RS12215	USA300HOU_RS12215	USA300HOU_RS12215	2378258	2378389
USA300HOU_RS12220	USA300HOU_RS12220	USA300HOU_RS12220	2378560	2379450
USA300HOU_RS12225	USA300HOU_RS12225	USA300HOU_RS12225	2379601	2379765
USA300HOU_RS12230	USA300HOU_RS12230	USA300HOU_RS12230	2380010	2380327
USA300HOU_RS12235	USA300HOU_RS12235	USA300HOU_RS12235	2380514	2383681
USA300HOU_RS12240	USA300HOU_RS12240	USA300HOU_RS12240	2383798	2385063
USA300HOU_RS12245	USA300HOU_RS12245	USA300HOU_RS12245	2385452	2385703
USA300HOU_RS12250	USA300HOU_RS12250	USA300HOU_RS12250	2385695	2386459
USA300HOU_RS12255	USA300HOU_RS12260 // USA300HOU_RS12255	USA300HOU_RS12255	2386621	2387061
USA300HOU_RS12260	USA300HOU_RS12260 // USA300HOU_RS12255	USA300HOU_RS12260	2387054	2388265
USA300HOU_RS12265	USA300HOU_RS12265	USA300HOU_RS12265	2388367	2388717
USA300HOU_RS12270	USA300HOU_RS12270	USA300HOU_RS12270	2388843	2389013
USA300HOU_RS12285	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12285	2389408	2390430
USA300HOU_RS12290	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12290	2390450	2391049
USA300HOU_RS12295	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12295	2391056	2391289
USA300HOU_RS12300	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12300	2391295	2391741
USA300HOU_RS12305	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12305	2391755	2392240
USA300HOU_RS12310	USA300HOU_RS12310 // USA300HOU_RS12305 // USA300HOU_RS12300 // USA300HOU_RS12295 // USA300HOU_RS12290 // USA300HOU_RS12285	USA300HOU_RS12310	2392237	2393496
USA300HOU_RS12315	USA300HOU_RS12315	USA300HOU_RS12315	2393559	2394053
USA300HOU_RS12320	USA300HOU_RS12325 // USA300HOU_RS12320	USA300HOU_RS12320	2394055	2394561
USA300HOU_RS12325	USA300HOU_RS12325 // USA300HOU_RS12320	USA300HOU_RS12325	2394592	2395596
USA300HOU_RS12330	USA300HOU_RS12340 // USA300HOU_RS12335 // USA300HOU_RS12330	USA300HOU_RS12330	2395766	2396371
USA300HOU_RS12335	USA300HOU_RS12340 // USA300HOU_RS12335 // USA300HOU_RS12330	USA300HOU_RS12335	2396372	2397043
USA300HOU_RS12340	USA300HOU_RS12340 // USA300HOU_RS12335 // USA300HOU_RS12330	USA300HOU_RS12340	2397057	2397839
USA300HOU_RS12345	USA300HOU_RS12345	USA300HOU_RS12345	2398129	2398926
USA300HOU_RS12350	USA300HOU_RS12350	USA300HOU_RS12350	2399098	2399868
USA300HOU_RS12355	USA300HOU_RS12355	USA300HOU_RS12355	2399940	2400494
USA300HOU_RS12360	USA300HOU_RS12360	USA300HOU_RS12360	2400615	2401556
USA300HOU_RS12365	USA300HOU_RS12365	USA300HOU_RS12365	2401955	2402863
USA300HOU_RS12370	USA300HOU_RS12370	USA300HOU_RS12370	2403077	2404231
USA300HOU_RS12375	USA300HOU_RS12375	USA300HOU_RS12375	2404448	2405338
USA300HOU_RS12380	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12380	2405613	2405915
USA300HOU_RS12385	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12385	2405929	2406339
USA300HOU_RS12390	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12390	2406336	2408051
USA300HOU_RS12400	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12400	2408509	2409198
USA300HOU_RS12405	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12405	2409211	2409825
USA300HOU_RS12410	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // ureE // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	USA300HOU_RS12410	2409825	2410661
USA300HOU_RS12415	USA300HOU_RS12415	USA300HOU_RS12415	2410850	2411197
USA300HOU_RS12420	USA300HOU_RS12420	USA300HOU_RS12420	2411495	2411674
USA300HOU_RS12425	USA300HOU_RS12425	USA300HOU_RS12425	2411625	2411951
USA300HOU_RS12430	USA300HOU_RS12435 // USA300HOU_RS12430	USA300HOU_RS12430	2412015	2412758
USA300HOU_RS12435	USA300HOU_RS12435 // USA300HOU_RS12430	USA300HOU_RS12435	2412784	2414739
USA300HOU_RS12440	USA300HOU_RS12440	USA300HOU_RS12440	2415349	2416152
USA300HOU_RS12445	USA300HOU_RS12445	USA300HOU_RS12445	2416169	2416411
USA300HOU_RS12450	USA300HOU_RS12450	USA300HOU_RS12450	2416585	2417985
USA300HOU_RS12455	USA300HOU_RS12455	USA300HOU_RS12455	2418080	2419162
USA300HOU_RS12460	USA300HOU_RS12460	USA300HOU_RS12460	2419410	2419832
USA300HOU_RS12465	USA300HOU_RS12465	USA300HOU_RS12465	2420069	2420569
USA300HOU_RS12470	USA300HOU_RS12470	USA300HOU_RS12470	2420617	2420874
USA300HOU_RS12475	USA300HOU_RS12475	USA300HOU_RS12475	2420931	2421884
USA300HOU_RS12480	USA300HOU_RS12480	USA300HOU_RS12480	2421976	2423100
USA300HOU_RS12485	USA300HOU_RS12485	USA300HOU_RS12485	2423411	2424049
USA300HOU_RS12490	USA300HOU_RS12490	USA300HOU_RS12490	2424209	2424442
USA300HOU_RS12495	USA300HOU_RS12500 // USA300HOU_RS12495	USA300HOU_RS12495	2424670	2425143
USA300HOU_RS12500	USA300HOU_RS12500 // USA300HOU_RS12495	USA300HOU_RS12500	2425143	2428097
USA300HOU_RS12505	USA300HOU_RS12505	USA300HOU_RS12505	2428699	2429622
USA300HOU_RS12510	USA300HOU_RS12510	USA300HOU_RS12510	2429779	2430576
USA300HOU_RS12515	USA300HOU_RS12515	USA300HOU_RS12515	2430961	2431653
USA300HOU_RS12520	USA300HOU_RS12520	USA300HOU_RS12520	2432009	2432323
USA300HOU_RS12525	USA300HOU_RS12525	USA300HOU_RS12525	2432300	2433037
USA300HOU_RS12530	USA300HOU_RS12530	USA300HOU_RS12530	2433086	2433415
USA300HOU_RS12535	USA300HOU_RS12535	USA300HOU_RS12535	2433860	2434732
USA300HOU_RS12540	USA300HOU_RS12540	USA300HOU_RS12540	2435119	2436498
USA300HOU_RS12545	USA300HOU_RS12550 // USA300HOU_RS12545	USA300HOU_RS12545	2436778	2437134
USA300HOU_RS12550	USA300HOU_RS12550 // USA300HOU_RS12545	USA300HOU_RS12550	2437131	2437316
USA300HOU_RS12555	USA300HOU_RS12560 // USA300HOU_RS12555	USA300HOU_RS12555	2437412	2437603
USA300HOU_RS12560	USA300HOU_RS12560 // USA300HOU_RS12555	USA300HOU_RS12560	2437614	2438249
USA300HOU_RS12565	USA300HOU_RS12565	USA300HOU_RS12565	2438324	2439241
USA300HOU_RS12570	USA300HOU_RS12570	USA300HOU_RS12570	2439509	2440039
USA300HOU_RS12575	USA300HOU_RS12575	USA300HOU_RS12575	2440105	2441709
USA300HOU_RS12580	USA300HOU_RS12580	USA300HOU_RS12580	2442039	2442803
USA300HOU_RS12585	USA300HOU_RS12585	USA300HOU_RS12585	2442861	2443367
USA300HOU_RS12590	USA300HOU_RS12590	USA300HOU_RS12590	2443534	2444847
USA300HOU_RS12595	USA300HOU_RS12595	USA300HOU_RS12595	2445072	2445641
USA300HOU_RS12600	USA300HOU_RS12600	USA300HOU_RS12600	2446128	2447009
USA300HOU_RS12605	USA300HOU_RS12605	USA300HOU_RS12605	2447120	2448241
USA300HOU_RS12610	USA300HOU_RS12615 // USA300HOU_RS12610	USA300HOU_RS12610	2448518	2449756
USA300HOU_RS12615	USA300HOU_RS12615 // USA300HOU_RS12610	USA300HOU_RS12615	2449756	2451417
USA300HOU_RS12620	USA300HOU_RS12620	USA300HOU_RS12620	2451577	2452461
USA300HOU_RS12625	USA300HOU_RS12625	USA300HOU_RS12625	2452583	2453002
USA300HOU_RS12630	USA300HOU_RS12630	USA300HOU_RS12630	2453258	2454193
USA300HOU_RS12635	USA300HOU_RS12635	USA300HOU_RS12635	2454483	2455742
USA300HOU_RS12640	USA300HOU_RS12640	USA300HOU_RS12640	2455808	2456494
USA300HOU_RS12645	USA300HOU_RS12645	USA300HOU_RS12645	2456668	2457321
USA300HOU_RS12655	USA300HOU_RS12660 // USA300HOU_RS12655	USA300HOU_RS12655	2457557	2458576
USA300HOU_RS12660	USA300HOU_RS12660 // USA300HOU_RS12655	USA300HOU_RS12660	2458606	2458932
USA300HOU_RS12665	USA300HOU_RS12670 // USA300HOU_RS12665 // USA300HOU_RS15525	USA300HOU_RS12665	2459150	2460382
USA300HOU_RS12670	USA300HOU_RS12670 // USA300HOU_RS12665 // USA300HOU_RS15525	USA300HOU_RS12670	2460375	2461274
USA300HOU_RS12675	USA300HOU_RS12675	USA300HOU_RS12675	2461505	2462152
USA300HOU_RS12680	USA300HOU_RS15530 // USA300HOU_RS12680	USA300HOU_RS12680	2462551	2463159
USA300HOU_RS12685	USA300HOU_RS12685	USA300HOU_RS12685	2463496	2464704
USA300HOU_RS12690	USA300HOU_RS12695 // USA300HOU_RS12690	USA300HOU_RS12690	2464752	2465801
USA300HOU_RS12695	USA300HOU_RS12695 // USA300HOU_RS12690	USA300HOU_RS12695	2465832	2466779
USA300HOU_RS12700	USA300HOU_RS12705 // USA300HOU_RS12700	USA300HOU_RS12700	2466876	2467367
USA300HOU_RS12705	USA300HOU_RS12705 // USA300HOU_RS12700	USA300HOU_RS12705	2467364	2467783
USA300HOU_RS12710	USA300HOU_RS12710	USA300HOU_RS12710	2467891	2468811
USA300HOU_RS12715	USA300HOU_RS12715	USA300HOU_RS12715	2469019	2469657
USA300HOU_RS12720	USA300HOU_RS12725 // USA300HOU_RS12720	USA300HOU_RS12720	2469903	2471834
USA300HOU_RS12725	USA300HOU_RS12725 // USA300HOU_RS12720	USA300HOU_RS12725	2471847	2472494
USA300HOU_RS12730	USA300HOU_RS12730	USA300HOU_RS12730	2472615	2473166
USA300HOU_RS12735	USA300HOU_RS12735	USA300HOU_RS12735	2473396	2474604
USA300HOU_RS12740	USA300HOU_RS12745 // USA300HOU_RS12740	USA300HOU_RS12740	2474714	2474842
USA300HOU_RS12745	USA300HOU_RS12745 // USA300HOU_RS12740	USA300HOU_RS12745	2474873	2476255
USA300HOU_RS12750	USA300HOU_RS12750	USA300HOU_RS12750	2476165	2476434
USA300HOU_RS12755	USA300HOU_RS12755	USA300HOU_RS12755	2476495	2476950
USA300HOU_RS12760	USA300HOU_RS12760	USA300HOU_RS12760	2477145	2478113
USA300HOU_RS12765	USA300HOU_RS15535 // USA300HOU_RS12765	USA300HOU_RS12765	2478688	2479044
USA300HOU_RS12770	USA300HOU_RS12775 // USA300HOU_RS12770	USA300HOU_RS12770	2479184	2479849
USA300HOU_RS12775	USA300HOU_RS12775 // USA300HOU_RS12770	USA300HOU_RS12775	2479849	2480904
USA300HOU_RS12780	USA300HOU_RS12785 // USA300HOU_RS12780	USA300HOU_RS12780	2481040	2481714
USA300HOU_RS12785	USA300HOU_RS12785 // USA300HOU_RS12780	USA300HOU_RS12785	2481707	2483080
USA300HOU_RS12790	USA300HOU_RS12795 // USA300HOU_RS12790	USA300HOU_RS12790	2483243	2483686
USA300HOU_RS12795	USA300HOU_RS12795 // USA300HOU_RS12790	USA300HOU_RS12795	2483683	2484138
USA300HOU_RS12800	USA300HOU_RS12800	USA300HOU_RS12800	2484204	2485682
USA300HOU_RS12805	USA300HOU_RS12805	USA300HOU_RS12805	2486063	2487661
USA300HOU_RS12810	USA300HOU_RS12810	USA300HOU_RS12810	2487978	2489651
USA300HOU_RS12815	USA300HOU_RS12815	USA300HOU_RS12815	2489804	2490433
USA300HOU_RS12820	USA300HOU_RS12820	USA300HOU_RS12820	2490747	2491262
USA300HOU_RS12825	USA300HOU_RS12825	USA300HOU_RS12825	2491411	2492457
USA300HOU_RS12830	USA300HOU_RS12830	USA300HOU_RS12830	2492503	2492838
USA300HOU_RS12835	USA300HOU_RS12840 // USA300HOU_RS12835	USA300HOU_RS12835	2492940	2493974
USA300HOU_RS12840	USA300HOU_RS12840 // USA300HOU_RS12835	USA300HOU_RS12840	2493985	2494101
USA300HOU_RS12845	USA300HOU_RS12845	USA300HOU_RS12845	2494206	2494637
USA300HOU_RS12850	USA300HOU_RS12850	USA300HOU_RS12850	2494689	2494781
USA300HOU_RS12855	USA300HOU_RS12855	USA300HOU_RS12855	2494844	2496121
USA300HOU_RS12860	USA300HOU_RS12860	USA300HOU_RS12860	2496282	2496905
USA300HOU_RS12865	USA300HOU_RS12865	USA300HOU_RS12865	2496951	2497895
USA300HOU_RS12870	USA300HOU_RS12870	USA300HOU_RS12870	2497981	2499423
USA300HOU_RS12875	USA300HOU_RS12875	USA300HOU_RS12875	2499606	2499989
USA300HOU_RS12880	USA300HOU_RS12880	USA300HOU_RS12880	2501477	2503582
USA300HOU_RS12885	USA300HOU_RS12885	USA300HOU_RS12885	2503653	2504075
USA300HOU_RS12890	USA300HOU_RS12890	USA300HOU_RS12890	2504340	2504696
USA300HOU_RS12895	USA300HOU_RS12895	USA300HOU_RS12895	2505100	2506377
USA300HOU_RS12900	USA300HOU_RS12900	USA300HOU_RS12900	2506559	2506924
USA300HOU_RS12905	USA300HOU_RS12905	USA300HOU_RS12905	2507322	2507768
USA300HOU_RS12910	USA300HOU_RS12910	USA300HOU_RS12910	2507984	2508412
USA300HOU_RS12915	USA300HOU_RS12915	USA300HOU_RS12915	2508519	2509688
USA300HOU_RS12920	USA300HOU_RS15540 // USA300HOU_RS12920	USA300HOU_RS12920	2510058	2510696
USA300HOU_RS12925	USA300HOU_RS12925	USA300HOU_RS12925	2510951	2511691
USA300HOU_RS12930	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	USA300HOU_RS12930	2511949	2512602
USA300HOU_RS12935	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	USA300HOU_RS12935	2512625	2513659
USA300HOU_RS12940	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	USA300HOU_RS12940	2513683	2514135
USA300HOU_RS12945	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	USA300HOU_RS12945	2514155	2514832
USA300HOU_RS12950	USA300HOU_RS12950 // USA300HOU_RS12945 // USA300HOU_RS12940 // USA300HOU_RS12935 // USA300HOU_RS12930	USA300HOU_RS12950	2514825	2515415
USA300HOU_RS12955	USA300HOU_RS12960 // USA300HOU_RS12955	USA300HOU_RS12955	2515393	2516952
USA300HOU_RS12960	USA300HOU_RS12960 // USA300HOU_RS12955	USA300HOU_RS12960	2516942	2520631
USA300HOU_RS12965	USA300HOU_RS12975 // USA300HOU_RS12970 // USA300HOU_RS12965	USA300HOU_RS12965	2520940	2521917
USA300HOU_RS12970	USA300HOU_RS12975 // USA300HOU_RS12970 // USA300HOU_RS12965	USA300HOU_RS12970	2521908	2522222
USA300HOU_RS12975	USA300HOU_RS12975 // USA300HOU_RS12970 // USA300HOU_RS12965	USA300HOU_RS12975	2522226	2524631
USA300HOU_RS12980	USA300HOU_RS12980	USA300HOU_RS12980	2524697	2525428
USA300HOU_RS12985	USA300HOU_RS12985	USA300HOU_RS12985	2525658	2526194
USA300HOU_RS12990	USA300HOU_RS12990	USA300HOU_RS12990	2526427	2527251
USA300HOU_RS12995	USA300HOU_RS12995	USA300HOU_RS12995	2527468	2527650
USA300HOU_RS13000	USA300HOU_RS13000	USA300HOU_RS13000	2527734	2528201
USA300HOU_RS13005	USA300HOU_RS13005	USA300HOU_RS13005	2528387	2529937
USA300HOU_RS13010	USA300HOU_RS13015 // USA300HOU_RS13010	USA300HOU_RS13010	2530232	2530498
USA300HOU_RS13015	USA300HOU_RS13015 // USA300HOU_RS13010	USA300HOU_RS13015	2530498	2530749
USA300HOU_RS13020	USA300HOU_RS13030 // USA300HOU_RS13025 // USA300HOU_RS13020	USA300HOU_RS13020	2530914	2531015
USA300HOU_RS13025	USA300HOU_RS13030 // USA300HOU_RS13025 // USA300HOU_RS13020	USA300HOU_RS13025	2531022	2531621
USA300HOU_RS13030	USA300HOU_RS13030 // USA300HOU_RS13025 // USA300HOU_RS13020	USA300HOU_RS13030	2531640	2531999
USA300HOU_RS13035	USA300HOU_RS13035	USA300HOU_RS13035	2532254	2533504
USA300HOU_RS13040	USA300HOU_RS13050 // USA300HOU_RS13045 // USA300HOU_RS13040	USA300HOU_RS13040	2533601	2534332
USA300HOU_RS13045	USA300HOU_RS13050 // USA300HOU_RS13045 // USA300HOU_RS13040	USA300HOU_RS13045	2534329	2535048
USA300HOU_RS13050	USA300HOU_RS13050 // USA300HOU_RS13045 // USA300HOU_RS13040	USA300HOU_RS13050	2535029	2535808
USA300HOU_RS13055	USA300HOU_RS13060 // USA300HOU_RS13055	USA300HOU_RS13055	2535929	2537332
USA300HOU_RS13060	USA300HOU_RS13060 // USA300HOU_RS13055	USA300HOU_RS13060	2537298	2537441
USA300HOU_RS13065	USA300HOU_RS13065	USA300HOU_RS13065	2537542	2537646
USA300HOU_RS13070	USA300HOU_RS13070	USA300HOU_RS13070	2537800	2538486
USA300HOU_RS13075	USA300HOU_RS13075	USA300HOU_RS13075	2538813	2539679
USA300HOU_RS13080	USA300HOU_RS13080	USA300HOU_RS13080	2540232	2540336
USA300HOU_RS13085	USA300HOU_RS13085	USA300HOU_RS13085	2540431	2541741
USA300HOU_RS13090	USA300HOU_RS13090	USA300HOU_RS13090	2541681	2541860
USA300HOU_RS13095	USA300HOU_RS13095	USA300HOU_RS13095	2542277	2543206
USA300HOU_RS13100	USA300HOU_RS13105 // USA300HOU_RS13100	USA300HOU_RS13100	2543773	2544720
USA300HOU_RS13105	USA300HOU_RS13105 // USA300HOU_RS13100	USA300HOU_RS13105	2544722	2545699
USA300HOU_RS13110	USA300HOU_RS13120 // USA300HOU_RS13115 // USA300HOU_RS13110	USA300HOU_RS13110	2545751	2546218
USA300HOU_RS13115	USA300HOU_RS13120 // USA300HOU_RS13115 // USA300HOU_RS13110	USA300HOU_RS13115	2546229	2546921
USA300HOU_RS13120	USA300HOU_RS13120 // USA300HOU_RS13115 // USA300HOU_RS13110	USA300HOU_RS13120	2546932	2548047
USA300HOU_RS13125	USA300HOU_RS13130 // USA300HOU_RS13125	USA300HOU_RS13125	2548025	2549032
USA300HOU_RS13130	USA300HOU_RS13130 // USA300HOU_RS13125	USA300HOU_RS13130	2549034	2550392
USA300HOU_RS13135	USA300HOU_RS13135	USA300HOU_RS13135	2550370	2551056
USA300HOU_RS13140	USA300HOU_RS13145 // USA300HOU_RS13140	USA300HOU_RS13140	2551110	2551277
USA300HOU_RS13145	USA300HOU_RS13145 // USA300HOU_RS13140	USA300HOU_RS13145	2551277	2551420
USA300HOU_RS13150	USA300HOU_RS13155 // USA300HOU_RS13150	USA300HOU_RS13150	2551508	2553241
USA300HOU_RS13155	USA300HOU_RS13155 // USA300HOU_RS13150	USA300HOU_RS13155	2553266	2555029
USA300HOU_RS13160	USA300HOU_RS13165 // USA300HOU_RS13160	USA300HOU_RS13160	2555523	2555630
USA300HOU_RS13165	USA300HOU_RS13165 // USA300HOU_RS13160	USA300HOU_RS13165	2555657	2555764
USA300HOU_RS13170	USA300HOU_RS13170	USA300HOU_RS13170	2555898	2556284
USA300HOU_RS13175	USA300HOU_RS13175	USA300HOU_RS13175	2556552	2557694
USA300HOU_RS13180	USA300HOU_RS13180	USA300HOU_RS13180	2557754	2558413
USA300HOU_RS13185	USA300HOU_RS13185	USA300HOU_RS13185	2558595	2559806
USA300HOU_RS13190	USA300HOU_RS13190	USA300HOU_RS13190	2559929	2560402
USA300HOU_RS13195	USA300HOU_RS13195	USA300HOU_RS13195	2560515	2561171
USA300HOU_RS13200	USA300HOU_RS13200	USA300HOU_RS13200	2561234	2562040
USA300HOU_RS13205	USA300HOU_RS13205	USA300HOU_RS13205	2562326	2563735
USA300HOU_RS13210	USA300HOU_RS13210	USA300HOU_RS13210	2563873	2565951
USA300HOU_RS13215	USA300HOU_RS13220 // USA300HOU_RS13215	USA300HOU_RS13215	2566030	2566131
USA300HOU_RS13220	USA300HOU_RS13220 // USA300HOU_RS13215	USA300HOU_RS13220	2566091	2567920
USA300HOU_RS13225	USA300HOU_RS13225	USA300HOU_RS13225	2568014	2568118
USA300HOU_RS13230	USA300HOU_RS13230	USA300HOU_RS13230	2568152	2569648
USA300HOU_RS13235	USA300HOU_RS13235	USA300HOU_RS13235	2569740	2570591
USA300HOU_RS13240	USA300HOU_RS13240	USA300HOU_RS13240	2570747	2570944
USA300HOU_RS13245	USA300HOU_RS13245	USA300HOU_RS13245	2570913	2571848
USA300HOU_RS13250	USA300HOU_RS13250	USA300HOU_RS13250	2572074	2573474
USA300HOU_RS13255	USA300HOU_RS13270 // USA300HOU_RS13265 // USA300HOU_RS13260 // USA300HOU_RS13255	USA300HOU_RS13255	2573768	2574463
USA300HOU_RS13260	USA300HOU_RS13270 // USA300HOU_RS13265 // USA300HOU_RS13260 // USA300HOU_RS13255	USA300HOU_RS13260	2574463	2575404
USA300HOU_RS13265	USA300HOU_RS13270 // USA300HOU_RS13265 // USA300HOU_RS13260 // USA300HOU_RS13255	USA300HOU_RS13265	2575421	2576056
USA300HOU_RS13270	USA300HOU_RS13270 // USA300HOU_RS13265 // USA300HOU_RS13260 // USA300HOU_RS13255	USA300HOU_RS13270	2576053	2577279
USA300HOU_RS13275	USA300HOU_RS13275	USA300HOU_RS13275	2577606	2577725
USA300HOU_RS13280	USA300HOU_RS15555 // USA300HOU_RS13285 // USA300HOU_RS13280	USA300HOU_RS13280	2577805	2577945
USA300HOU_RS13285	USA300HOU_RS15555 // USA300HOU_RS13285 // USA300HOU_RS13280	USA300HOU_RS13285	2577949	2578548
USA300HOU_RS13290	USA300HOU_RS13290	USA300HOU_RS13290	2578728	2580365
USA300HOU_RS13295	USA300HOU_RS13295	USA300HOU_RS13295	2580973	2582325
USA300HOU_RS13300	USA300HOU_RS13300	USA300HOU_RS13300	2582387	2583565
USA300HOU_RS13305	USA300HOU_RS13310 // USA300HOU_RS13305	USA300HOU_RS13305	2583970	2584746
USA300HOU_RS13310	USA300HOU_RS13310 // USA300HOU_RS13305	USA300HOU_RS13310	2584739	2585401
USA300HOU_RS13315	USA300HOU_RS13315	USA300HOU_RS13315	2585649	2586725
USA300HOU_RS13320	USA300HOU_RS13325 // USA300HOU_RS13320	USA300HOU_RS13320	2587080	2587346
USA300HOU_RS13325	USA300HOU_RS13325 // USA300HOU_RS13320	USA300HOU_RS13325	2587346	2587603
USA300HOU_RS13330	USA300HOU_RS13330	USA300HOU_RS13330	2587709	2587903
USA300HOU_RS13335	USA300HOU_RS13335	USA300HOU_RS13335	2587962	2588417
USA300HOU_RS13340	USA300HOU_RS13340	USA300HOU_RS13340	2588585	2590162
USA300HOU_RS13345	USA300HOU_RS13345	USA300HOU_RS13345	2590357	2591106
USA300HOU_RS13350	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13350	2591330	2592523
USA300HOU_RS13355	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13355	2592535	2593284
USA300HOU_RS13360	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13360	2593277	2594092
USA300HOU_RS13365	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13365	2594089	2594958
USA300HOU_RS13370	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13370	2594955	2595890
USA300HOU_RS13375	USA300HOU_RS13375 // USA300HOU_RS13370 // USA300HOU_RS13365 // USA300HOU_RS13360 // USA300HOU_RS13355 // USA300HOU_RS13350	USA300HOU_RS13375	2595903	2597501
USA300HOU_RS13380	USA300HOU_RS13390 // USA300HOU_RS13385 // USA300HOU_RS13380	USA300HOU_RS13380	2597644	2598945
USA300HOU_RS13385	USA300HOU_RS13390 // USA300HOU_RS13385 // USA300HOU_RS13380	USA300HOU_RS13385	2598938	2599756
USA300HOU_RS13390	USA300HOU_RS13390 // USA300HOU_RS13385 // USA300HOU_RS13380	USA300HOU_RS13390	2599767	2600588
USA300HOU_RS13395	USA300HOU_RS13395	USA300HOU_RS13395	2601455	2601820
