locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
USA300HOU_RS12585,USA300HOU_RS12585,NC_010079.1,USA300HOU_2305,2442861,2443367,-,hypothetical protein,Function unknown,A0A0E1VN81,Op1496
USA300HOU_RS12590,USA300HOU_RS12590,NC_010079.1,USA300HOU_2306,2443534,2444847,-,Na+/H+ antiporter NhaC family protein,Energy production and conversion,A0A0D3QA13,Op1497
USA300HOU_RS12595,USA300HOU_RS12595,NC_010079.1,USA300HOU_2307,2445072,2445641,-,hypothetical protein,No COG annotation,A0A0D3QA61,Op1498
USA300HOU_RS12600,USA300HOU_RS12600,NC_010079.1,USA300HOU_2308,2446128,2447009,-,SDR family oxidoreductase,Lipid transport and metabolism,A0A0D6H3B7,Op1499
USA300HOU_RS12605,USA300HOU_RS12605,NC_010079.1,USA300HOU_2309,2447120,2448241,-,amidohydrolase,Amino acid transport and metabolism,A0A0E7Q410,Op1500
USA300HOU_RS12610,USA300HOU_RS12610,NC_010079.1,USA300HOU_2310,2448518,2449756,-,imidazolonepropionase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0D6H327,Op1501
USA300HOU_RS12615,hutU,NC_010079.1,USA300HOU_2311,2449756,2451417,-,urocanate hydratase,Amino acid transport and metabolism,A0A0E1VQ99,Op1501
USA300HOU_RS12620,USA300HOU_RS12620,NC_010079.1,USA300HOU_2312,2451577,2452461,+,LysR family transcriptional regulator,Transcription,A0A0E0VSS8,Op1502
USA300HOU_RS12625,USA300HOU_RS12625,NC_010079.1,USA300HOU_2313,2452583,2453002,+,FosB1/FosB3 family fosfomycin resistance bacillithiol transferase,Amino acid transport and metabolism,A5IVB5,Op1503
USA300HOU_RS12630,USA300HOU_RS12630,NC_010079.1,USA300HOU_2314,2453258,2454193,-,formimidoylglutamase,Amino acid transport and metabolism,A5IVB6,Op1504
USA300HOU_RS12635,sdpC,NC_010079.1,USA300HOU_2315,2454483,2455742,+,CPBP family intramembrane metalloprotease SdpC,Function unknown,A0A0E1VXW4,Op1505
USA300HOU_RS12640,USA300HOU_RS12640,NC_010079.1,USA300HOU_2316,2455808,2456494,-,ribose 5-phosphate isomerase A,Carbohydrate transport and metabolism,A0A0E1VN91,Op1506
USA300HOU_RS12645,USA300HOU_RS12645,NC_010079.1,USA300HOU_2317,2456668,2457321,+,MOSC domain-containing protein,Function unknown,A0A0D3QA71,Op1507
USA300HOU_RS12655,USA300HOU_RS12655,NC_010079.1,USA300HOU_2319,2457557,2458576,-,galactose mutarotase,Carbohydrate transport and metabolism,A0A0E1VN45,Op1508
USA300HOU_RS12660,USA300HOU_RS12660,NC_010079.1,USA300HOU_2320,2458606,2458932,-,YnfA family protein,Function unknown,A0A0E0VTH5,Op1508
USA300HOU_RS15525,USA300HOU_RS15525,NC_010079.1,USA300HOU_2321,2458981,2459166,-,hypothetical protein,No COG annotation,A0A0E0VSG4,Op1509
USA300HOU_RS12665,USA300HOU_RS12665,NC_010079.1,USA300HOU_2322,2459150,2460382,-,ABC transporter permease,Energy production and conversion,A0A0D6H383,Op1509
USA300HOU_RS12670,USA300HOU_RS12670,NC_010079.1,USA300HOU_2323,2460375,2461274,-,ABC transporter ATP-binding protein,Function unknown,A0A0D3QA76,Op1509
USA300HOU_RS12675,USA300HOU_RS12675,NC_010079.1,USA300HOU_2324,2461505,2462152,-,DUF805 domain-containing protein,Function unknown,A0A0D3QA03,Op1510
USA300HOU_RS12680,USA300HOU_RS12680,NC_010079.1,USA300HOU_2325,2462551,2463159,+,DNA-3-methyladenine glycosylase,"Replication, recombination and repair",A5IVC5,Op1511
USA300HOU_RS12685,gltS,NC_010079.1,USA300HOU_2326,2463496,2464704,+,sodium/glutamate symporter,Inorganic ion transport and metabolism,A0A0E1VQB5,Op1512
USA300HOU_RS12690,USA300HOU_RS12690,NC_010079.1,USA300HOU_2327,2464752,2465801,-,type 2 isopentenyl-diphosphate Delta-isomerase,Energy production and conversion,A0A0E1VN56,Op1513
USA300HOU_RS12695,corA,NC_010079.1,USA300HOU_2328,2465832,2466779,-,magnesium/cobalt transporter CorA,Inorganic ion transport and metabolism,A0A0D6WEG0,Op1513
USA300HOU_RS12700,USA300HOU_RS12700,NC_010079.1,USA300HOU_2329,2466876,2467367,+,thioesterase family protein,Function unknown,A0A0D6H0U4,Op1514
USA300HOU_RS12705,USA300HOU_RS12705,NC_010079.1,USA300HOU_2330,2467364,2467783,+,hypothetical protein,No COG annotation,A0A0E0VSU8,Op1514
USA300HOU_RS12710,USA300HOU_RS12710,NC_010079.1,USA300HOU_2331,2467891,2468811,-,alpha/beta hydrolase,Lipid transport and metabolism,A0A0D1HYK0,Op1515
USA300HOU_RS12715,USA300HOU_RS12715,NC_010079.1,USA300HOU_2332,2469019,2469657,+,hypothetical protein,No COG annotation,A0A0D3QA38,Op1516
USA300HOU_RS12720,USA300HOU_RS12720,NC_010079.1,USA300HOU_2333,2469903,2471834,-,DHA2 family efflux MFS transporter permease subunit,Amino acid transport and metabolism,A0A0H2XJ69,Op1517
USA300HOU_RS12725,USA300HOU_RS12725,NC_010079.1,USA300HOU_2334,2471847,2472494,-,HlyD family secretion protein,Defense mechanisms,A0A0D3QA12,Op1517
USA300HOU_RS12730,USA300HOU_RS12730,NC_010079.1,USA300HOU_2336,2472615,2473166,+,TetR/AcrR family transcriptional regulator,Transcription,A0A0E1VQC6,Op1518
USA300HOU_RS12735,USA300HOU_RS12735,NC_010079.1,USA300HOU_2337,2473396,2474604,-,multidrug effflux MFS transporter,Amino acid transport and metabolism,A0A0E1VN65,Op1519
USA300HOU_RS12740,USA300HOU_RS12740,NC_010079.1,,2474714,2474842,-,hypothetical protein,No COG annotation,A0A0H2WXW0,Op1520
USA300HOU_RS12745,USA300HOU_RS12745,NC_010079.1,USA300HOU_2338,2474873,2476255,-,zinc ribbon domain-containing protein,Function unknown,A0A0D3QA91,Op1520
USA300HOU_RS12755,USA300HOU_RS12755,NC_010079.1,USA300HOU_2339,2476495,2476950,-,MarR family transcriptional regulator,Transcription,A0A0E0VRJ3,Op1521
USA300HOU_RS12760,USA300HOU_RS12760,NC_010079.1,USA300HOU_2340,2477145,2478113,+,YdcF family protein,Function unknown,A0A0H2WWX0,Op1522
USA300HOU_RS12765,USA300HOU_RS12765,NC_010079.1,,2478574,2479076,+,transposase,Function unknown,,Op1523
USA300HOU_RS12770,USA300HOU_RS12770,NC_010079.1,USA300HOU_2342,2479184,2479849,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A6QJK1,Op1524
USA300HOU_RS12775,USA300HOU_RS12775,NC_010079.1,USA300HOU_2343,2479849,2480904,-,ABC transporter permease,Defense mechanisms,A0A0E1VQH2,Op1524
USA300HOU_RS12780,hssR,NC_010079.1,USA300HOU_2344,2481040,2481714,+,DNA-binding heme response regulator HssR,Transcription,A5IVE2,Op1525
USA300HOU_RS12785,hssS,NC_010079.1,USA300HOU_2345,2481707,2483080,+,heme sensor histidine kinase HssS,Signal transduction mechanisms,A0A0D6H061,Op1525
USA300HOU_RS12790,USA300HOU_RS12790,NC_010079.1,USA300HOU_2346,2483243,2483686,+,response regulator transcription factor,Transcription,A0A0H3KA54,Op1526
USA300HOU_RS12795,USA300HOU_RS12795,NC_010079.1,USA300HOU_2347,2483683,2484138,+,DUF3021 domain-containing protein,Function unknown,A0A0D6H1Z9,Op1526
USA300HOU_RS12800,mqo,NC_010079.1,USA300HOU_2348,2484204,2485682,-,malate dehydrogenase (quinone),Energy production and conversion,A0A0D3QAJ9,Op1527
USA300HOU_RS12805,USA300HOU_RS12805,NC_010079.1,USA300HOU_2349,2486063,2487661,-,L-lactate permease,Energy production and conversion,A0A0H2XGA6,Op1528
USA300HOU_RS12810,USA300HOU_RS12810,NC_010079.1,USA300HOU_2350,2487978,2489651,+,CDP-glycerol glycerophosphotransferase family protein,Cell wall/membrane/envelope biogenesis,A0A0D3QBK8,Op1529
USA300HOU_RS12815,USA300HOU_RS12815,NC_010079.1,USA300HOU_2351,2489804,2490433,-,hypothetical protein,No COG annotation,A0A0D6H001,Op1530
USA300HOU_RS12820,USA300HOU_RS12820,NC_010079.1,USA300HOU_2352,2490747,2491262,-,GNAT family N-acetyltransferase,Transcription,A0A0D6WD10,Op1531
USA300HOU_RS12825,USA300HOU_RS12825,NC_010079.1,USA300HOU_2353,2491453,2492457,+,oxidoreductase,Energy production and conversion,A0A0H2WWX6,Op1532
USA300HOU_RS12830,USA300HOU_RS12830,NC_010079.1,USA300HOU_2354,2492503,2492838,-,GNAT family N-acetyltransferase,Transcription,A0A2I7YBQ2,Op1533
USA300HOU_RS12835,USA300HOU_RS12835,NC_010079.1,USA300HOU_2355,2492940,2493974,-,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A1Q4GXS1,Op1534
USA300HOU_RS12840,USA300HOU_RS12840,NC_010079.1,USA300HOU_2356,2493985,2494101,-,hypothetical protein,No COG annotation,A0A0H2X2C9,Op1534
USA300HOU_RS12845,USA300HOU_RS12845,NC_010079.1,USA300HOU_2357,2494206,2494637,-,DUF2871 domain-containing protein,Function unknown,A0A0D1HP34,Op1535
USA300HOU_RS12855,USA300HOU_RS12855,NC_010079.1,USA300HOU_2359,2494844,2496121,-,YhgE/Pip domain-containing protein,Defense mechanisms,A0A0D6H1N8,Op1536
USA300HOU_RS12860,USA300HOU_RS12860,NC_010079.1,USA300HOU_2360,2496282,2496905,+,TetR/AcrR family transcriptional regulator,Transcription,A0A0D6WJI4,Op1537
USA300HOU_RS12865,USA300HOU_RS12865,NC_010079.1,USA300HOU_2361,2496951,2497895,+,magnesium transporter CorA family protein,Inorganic ion transport and metabolism,A0A0E0VRU4,Op1538
USA300HOU_RS12870,USA300HOU_RS12870,NC_010079.1,USA300HOU_2362,2497981,2499423,-,PTS sucrose transporter subunit IIBC,Carbohydrate transport and metabolism,A0A0D6H1J5,Op1539
USA300HOU_RS12875,USA300HOU_RS12875,NC_010079.1,USA300HOU_2363,2499606,2499989,+,YbgA family protein,Function unknown,A0A0D3QAR4,Op1540
USA300HOU_RS12880,rsp,NC_010079.1,USA300HOU_2364,2501477,2503582,+,AraC family transcriptional regulator Rsp,Transcription,A0A0H2WXX6,Op1541
USA300HOU_RS12885,USA300HOU_RS12885,NC_010079.1,,2503653,2504075,+,pyridoxamine 5'-phosphate oxidase family protein,Function unknown,A0A0E0VRU9,Op1542
USA300HOU_RS12890,USA300HOU_RS12890,NC_010079.1,USA300HOU_2365,2504340,2504696,+,DUF4889 domain-containing protein,Function unknown,A0A0E1VQI3,Op1543
USA300HOU_RS12895,USA300HOU_RS12895,NC_010079.1,USA300HOU_2366,2505100,2506377,-,cation:dicarboxylase symporter family transporter,Energy production and conversion,A0A0E1VND2,Op1544
USA300HOU_RS12900,USA300HOU_RS12900,NC_010079.1,USA300HOU_2367,2506559,2506924,-,DUF3139 domain-containing protein,Function unknown,A0A0E1VQM1,Op1545
USA300HOU_RS12905,USA300HOU_RS12905,NC_010079.1,USA300HOU_2368,2507322,2507768,+,MarR family transcriptional regulator,Transcription,A0A0D6HNC6,Op1546
USA300HOU_RS12910,USA300HOU_RS12910,NC_010079.1,,2507984,2508412,+,Hsp20/alpha crystallin family protein,"PostXtranslational modification, protein turnover, and chaperones",A0A0H2XH81,Op1547
USA300HOU_RS12915,USA300HOU_RS12915,NC_010079.1,USA300HOU_2369,2508519,2509688,-,NarK/NasA family nitrate transporter,Inorganic ion transport and metabolism,A6QJM8,Op1548
USA300HOU_RS12920,USA300HOU_RS12920,NC_010079.1,USA300HOU_2371,2510058,2510696,+,DUF2268 domain-containing protein,"PostXtranslational modification, protein turnover, and chaperones",A0A0D6H182,Op1549
USA300HOU_RS15540,USA300HOU_RS15540,NC_010079.1,,2510715,2510972,+,hypothetical protein,"PostXtranslational modification, protein turnover, and chaperones",UPI000B7DCC89,Op1549
USA300HOU_RS12925,USA300HOU_RS12925,NC_010079.1,USA300HOU_2372,2510951,2511691,+,MerR family transcriptional regulator,Transcription,A0A0E1VQN3,Op1550
USA300HOU_RS12930,USA300HOU_RS12930,NC_010079.1,USA300HOU_2373,2511949,2512602,-,response regulator transcription factor,Transcription,A0A0E1VY59,Op1551
USA300HOU_RS12935,USA300HOU_RS12935,NC_010079.1,USA300HOU_2374,2512625,2513659,-,sensor histidine kinase,Nucleotide transport and metabolism,A0A0E1VNH3,Op1551
USA300HOU_RS12940,USA300HOU_RS12940,NC_010079.1,USA300HOU_2375,2513683,2514135,-,GAF domain-containing protein,Signal transduction mechanisms,A0A0E1VQJ8,Op1551
USA300HOU_RS12945,narI,NC_010079.1,USA300HOU_2376,2514155,2514832,-,respiratory nitrate reductase subunit gamma,Energy production and conversion,A0A0D6H0T6,Op1551
USA300HOU_RS12950,narJ,NC_010079.1,USA300HOU_2377,2514825,2515415,-,nitrate reductase molybdenum cofactor assembly chaperone,Energy production and conversion,A0A0H2WXY6,Op1551
USA300HOU_RS12955,narH,NC_010079.1,USA300HOU_2378,2515393,2516952,-,nitrate reductase subunit beta,Energy production and conversion,A0A068A921,Op1552
USA300HOU_RS12960,USA300HOU_RS12960,NC_010079.1,USA300HOU_2379,2516942,2520631,-,nitrate reductase subunit alpha,Energy production and conversion,A0A0D6GZM2,Op1552
USA300HOU_RS12965,cobA,NC_010079.1,USA300HOU_2380,2520940,2521917,-,uroporphyrinogen-III C-methyltransferase,Coenzyme transport and metabolism,A0A0E7VD74,Op1553
USA300HOU_RS12970,nirD,NC_010079.1,USA300HOU_2381,2521908,2522222,-,nitrite reductase small subunit NirD,Inorganic ion transport and metabolism,A0A0D1K078,Op1553
USA300HOU_RS12975,USA300HOU_RS12975,NC_010079.1,USA300HOU_2382,2522226,2524631,-,NAD(P)/FAD-dependent oxidoreductase,Energy production and conversion,A0A0E8HHC4,Op1553
USA300HOU_RS12980,USA300HOU_RS12980,NC_010079.1,USA300HOU_2383,2524697,2525428,-,sirohydrochlorin chelatase,Function unknown,A0A0D6H0J0,Op1554
USA300HOU_RS12985,USA300HOU_RS12985,NC_010079.1,USA300HOU_2384,2525658,2526194,-,GNAT family N-acetyltransferase,Transcription,A0A0E1VN39,Op1555
USA300HOU_RS12990,USA300HOU_RS12990,NC_010079.1,USA300HOU_2385,2526427,2527251,-,formate/nitrite transporter family protein,Inorganic ion transport and metabolism,A0A077UL01,Op1556
USA300HOU_RS12995,USA300HOU_RS12995,NC_010079.1,,2527468,2527650,-,hypothetical protein,No COG annotation,A0A0D3QAT6,Op1557
USA300HOU_RS13000,USA300HOU_RS13000,NC_010079.1,,2527734,2528201,-,glutathione S-transferase,Function unknown,A0A0E1VQ90,Op1558
USA300HOU_RS13005,adcA,NC_010079.1,USA300HOU_2386,2528387,2529937,-,zinc ABC transporter substrate-binding lipoprotein AdcA,Inorganic ion transport and metabolism,A0A0D3QA93,Op1559
USA300HOU_RS15830,USA300HOU_RS15830,NC_010079.1,,2530126,2530197,-,hypothetical protein,No COG annotation,,Op1560
USA300HOU_RS13010,USA300HOU_RS13010,NC_010079.1,USA300HOU_2387,2530232,2530498,-,Txe/YoeB family addiction module toxin,Function unknown,A0A068A513,Op1561
USA300HOU_RS13015,USA300HOU_RS13015,NC_010079.1,USA300HOU_2388,2530498,2530749,-,type II toxin-antitoxin system Phd/YefM family antitoxin,"Cell cycle control, cell division, chromosome partitioning",A0A0H2XGY4,Op1561
USA300HOU_RS13020,USA300HOU_RS13020,NC_010079.1,USA300HOU_2389,2530914,2531015,-,hypothetical protein,No COG annotation,A0A266CT28,Op1562
USA300HOU_RS13025,USA300HOU_RS13025,NC_010079.1,USA300HOU_2390,2531022,2531621,-,DsbA family protein,"PostXtranslational modification, protein turnover, and chaperones",A0A0H2WX78,Op1562
USA300HOU_RS13030,USA300HOU_RS13030,NC_010079.1,USA300HOU_2391,2531640,2531999,-,DUF4467 domain-containing protein,Function unknown,A0A1S5ZEY9,Op1562
USA300HOU_RS13035,fmhA,NC_010079.1,USA300HOU_2392,2532254,2533504,+,FemA/FemB family glycyltransferase FmhA,Defense mechanisms,A0A0D6GYH3,Op1563
USA300HOU_RS13040,USA300HOU_RS13040,NC_010079.1,USA300HOU_2393,2533601,2534332,-,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A0E1VN46,Op1564
USA300HOU_RS13045,USA300HOU_RS13045,NC_010079.1,USA300HOU_2394,2534329,2535048,-,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A0E1VQ64,Op1564
USA300HOU_RS13050,USA300HOU_RS13050,NC_010079.1,USA300HOU_2395,2535029,2535808,-,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A0E1VN00,Op1564
USA300HOU_RS13055,mdeA,NC_010079.1,USA300HOU_2396,2535929,2537368,-,multidrug efflux MFS transporter MdeA,Amino acid transport and metabolism,A0A0D6H0H7,Op1565
USA300HOU_RS13065,USA300HOU_RS13065,NC_010079.1,USA300HOU_2397,2537542,2537646,+,putative metal homeostasis protein,No COG annotation,A0A080V9I6,Op1566
USA300HOU_RS13070,USA300HOU_RS13070,NC_010079.1,USA300HOU_2398,2537800,2538486,-,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase,Carbohydrate transport and metabolism,A0A0E0VRY1,Op1567
USA300HOU_RS13075,USA300HOU_RS13075,NC_010079.1,USA300HOU_2399,2538813,2539679,-,cation transporter,Inorganic ion transport and metabolism,A0A0E1VQ67,Op1568
USA300HOU_RS13080,USA300HOU_RS13080,NC_010079.1,USA300HOU_2400,2540232,2540336,-,hypothetical protein,No COG annotation,A0A299MB63,Op1569
USA300HOU_RS13085,sbi,NC_010079.1,USA300HOU_2401,2540431,2541741,+,immunoglobulin-binding protein Sbi,Cell wall/membrane/envelope biogenesis,A0A0D3QAF5,Op1570
USA300HOU_RS13095,hlgA,NC_010079.1,USA300HOU_2402,2542277,2543206,+,bi-component gamma-hemolysin HlgAB subunit A,Function unknown,A0A0H2XIG9,Op1571
USA300HOU_RS13100,hlgC,NC_010079.1,USA300HOU_2404,2543773,2544720,+,bi-component gamma-hemolysin HlgCB subunit C,Function unknown,A0A0D6H099,Op1572
USA300HOU_RS13105,hlgB,NC_010079.1,USA300HOU_2405,2544722,2545699,+,bi-component gamma-hemolysin HlgAB/HlgCB subunit B,Cell wall/membrane/envelope biogenesis,A0A0H2XH48,Op1572
USA300HOU_RS13110,USA300HOU_RS13110,NC_010079.1,USA300HOU_2406,2545751,2546218,-,QueT transporter family protein,No COG annotation,A0A0H2XE04,Op1573
USA300HOU_RS13115,USA300HOU_RS13115,NC_010079.1,USA300HOU_2407,2546229,2546921,-,6-carboxyhexanoate--CoA ligase,Coenzyme transport and metabolism,A0A0D6WIJ3,Op1573
USA300HOU_RS13120,USA300HOU_RS13120,NC_010079.1,USA300HOU_2408,2546932,2548047,-,pyridoxal phosphate-dependent aminotransferase family protein,Amino acid transport and metabolism,A0A0D6H048,Op1573
USA300HOU_RS13125,bioB,NC_010079.1,USA300HOU_2409,2548025,2549032,-,biotin synthase BioB,Coenzyme transport and metabolism,A0A0D6GYH1,Op1574
USA300HOU_RS13130,bioA,NC_010079.1,USA300HOU_2410,2549034,2550392,-,adenosylmethionine--8-amino-7-oxononanoate transaminase,Coenzyme transport and metabolism,A0A0D6HN86,Op1574
USA300HOU_RS13135,bioD,NC_010079.1,USA300HOU_2411,2550370,2551056,-,dethiobiotin synthase,Coenzyme transport and metabolism,A0A0D6GZF2,Op1575
USA300HOU_RS13140,USA300HOU_RS13140,NC_010079.1,,2551110,2551277,-,hypothetical protein,No COG annotation,A0A2C9TQT4,Op1576
USA300HOU_RS13150,USA300HOU_RS13150,NC_010079.1,USA300HOU_2412,2551508,2553241,-,ABC transporter ATP-binding protein,Defense mechanisms,A0A0D6GZT9,Op1577
USA300HOU_RS13155,USA300HOU_RS13155,NC_010079.1,USA300HOU_2413,2553266,2555029,-,ABC transporter ATP-binding protein,Defense mechanisms,A0A0D6GZH0,Op1577
USA300HOU_RS13165,USA300HOU_RS13165,NC_010079.1,USA300HOU_2415,2555657,2555764,-,type I toxin-antitoxin system Fst family toxin,No COG annotation,A0A0H2WX55,Op1578
USA300HOU_RS13170,USA300HOU_RS13170,NC_010079.1,USA300HOU_2416,2555898,2556284,-,GtrA family protein,Function unknown,A0A0D3QA97,Op1579
USA300HOU_RS13175,USA300HOU_RS13175,NC_010079.1,USA300HOU_2418,2556552,2557694,+,glycerate kinase,Carbohydrate transport and metabolism,A0A0H2WXQ6,Op1580
USA300HOU_RS13180,USA300HOU_RS13180,NC_010079.1,USA300HOU_2419,2557754,2558413,+,membrane protein,Function unknown,A0A0E1VQ25,Op1581
USA300HOU_RS13185,USA300HOU_RS13185,NC_010079.1,USA300HOU_2420,2558595,2559806,+,multidrug effflux MFS transporter,Amino acid transport and metabolism,A0A0H2WZF2,Op1582
USA300HOU_RS13190,USA300HOU_RS13190,NC_010079.1,USA300HOU_2421,2559929,2560402,-,AraC family transcriptional regulator,Transcription,A0A0E0VRS7,Op1583
USA300HOU_RS13195,USA300HOU_RS13195,NC_010079.1,USA300HOU_2422,2560515,2561171,+,hypothetical protein,Function unknown,A0A0E1VXN6,Op1584
USA300HOU_RS13200,USA300HOU_RS13200,NC_010079.1,USA300HOU_2423,2561234,2562040,-,phosphohydrolase,Function unknown,A0A0D3QAX8,Op1585
USA300HOU_RS13205,USA300HOU_RS13205,NC_010079.1,USA300HOU_2424,2562326,2563735,+,amino acid permease,Amino acid transport and metabolism,A0A0E0VTT3,Op1586
USA300HOU_RS13210,USA300HOU_RS13210,NC_010079.1,USA300HOU_2425,2563873,2565951,+,sodium:proton antiporter,Inorganic ion transport and metabolism,A0A0D6GX94,Op1587
USA300HOU_RS13220,USA300HOU_RS13220,NC_010079.1,USA300HOU_2427,2566091,2567920,-,APC family permease,Amino acid transport and metabolism,A0A0D3QAA6,Op1588
USA300HOU_RS13230,USA300HOU_RS13230,NC_010079.1,USA300HOU_2429,2568152,2569648,+,serine hydrolase,Defense mechanisms,A0A0E7QCY4,Op1589
USA300HOU_RS13235,USA300HOU_RS13235,NC_010079.1,USA300HOU_2430,2569740,2570591,-,NAD(P)-dependent oxidoreductase,Carbohydrate transport and metabolism,A0A0D6GZA8,Op1590
USA300HOU_RS13245,USA300HOU_RS13245,NC_010079.1,USA300HOU_2432,2570913,2571848,-,2-dehydropantoate 2-reductase,Coenzyme transport and metabolism,A0A0D6HNF0,Op1591
USA300HOU_RS13250,USA300HOU_RS13250,NC_010079.1,USA300HOU_2433,2572074,2573474,-,MFS transporter,Amino acid transport and metabolism,A0A0D6GYW7,Op1592
USA300HOU_RS13255,USA300HOU_RS13255,NC_010079.1,USA300HOU_2434,2573768,2574463,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0E0VT52,Op1593
USA300HOU_RS13260,USA300HOU_RS13260,NC_010079.1,USA300HOU_2435,2574463,2575404,-,osmoprotectant ABC transporter substrate-binding protein,Cell wall/membrane/envelope biogenesis,A0A0D3QAE7,Op1593
USA300HOU_RS13265,USA300HOU_RS13265,NC_010079.1,USA300HOU_2436,2575421,2576056,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0E1VQ41,Op1593
USA300HOU_RS13270,USA300HOU_RS13270,NC_010079.1,USA300HOU_2437,2576053,2577279,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0H2XHM3,Op1593
USA300HOU_RS13275,USA300HOU_RS13275,NC_010079.1,USA300HOU_2438,2577606,2577725,-,hypothetical protein,No COG annotation,A0A0H2X0I6,Op1594
USA300HOU_RS13280,USA300HOU_RS13280,NC_010079.1,,2577805,2577945,-,hypothetical protein,No COG annotation,A0A0H2X3J3,Op1595
USA300HOU_RS13285,USA300HOU_RS13285,NC_010079.1,USA300HOU_2439,2577949,2578548,-,hypothetical protein,Function unknown,A0A0H2WZG5,Op1595
USA300HOU_RS13290,USA300HOU_RS13290,NC_010079.1,USA300HOU_2440,2578728,2580365,+,APC family permease,Amino acid transport and metabolism,A0A0D3QAI8,Op1596
USA300HOU_RS13295,USA300HOU_RS13295,NC_010079.1,USA300HOU_2441,2580973,2582325,+,carboxylesterase/lipase family protein,Lipid transport and metabolism,A0A0D6GYZ4,Op1597
USA300HOU_RS13300,USA300HOU_RS13300,NC_010079.1,USA300HOU_2442,2582387,2583565,-,MFS transporter,Amino acid transport and metabolism,A0A133PV10,Op1598
USA300HOU_RS13305,fetB,NC_010079.1,USA300HOU_2443,2583970,2584746,-,iron export ABC transporter permease subunit FetB,Function unknown,A0A0D6GYF5,Op1599
USA300HOU_RS13310,USA300HOU_RS13310,NC_010079.1,USA300HOU_2444,2584739,2585401,-,ATP-binding cassette domain-containing protein,Function unknown,A0A0D6GXG5,Op1599
USA300HOU_RS13315,USA300HOU_RS13315,NC_010079.1,USA300HOU_2445,2585649,2586725,-,M42 family metallopeptidase,Carbohydrate transport and metabolism,A0A0D6GYC2,Op1600
USA300HOU_RS13320,USA300HOU_RS13320,NC_010079.1,USA300HOU_2446,2587080,2587346,-,Txe/YoeB family addiction module toxin,Function unknown,A0A0H2WZR8,Op1601
USA300HOU_RS13325,USA300HOU_RS13325,NC_010079.1,USA300HOU_2447,2587346,2587603,-,type II toxin-antitoxin system Phd/YefM family antitoxin,"Cell cycle control, cell division, chromosome partitioning",A0A0H2X0J9,Op1601
USA300HOU_RS13330,USA300HOU_RS13330,NC_010079.1,USA300HOU_2448,2587709,2587903,-,hypothetical protein,No COG annotation,A0A0H2WZH4,Op1602
USA300HOU_RS13335,USA300HOU_RS13335,NC_010079.1,USA300HOU_2449,2587962,2588417,+,DUF1307 domain-containing protein,Function unknown,A0A0H2WZE5,Op1603
USA300HOU_RS13340,USA300HOU_RS13340,NC_010079.1,USA300HOU_2450,2588585,2590162,-,FMN-binding glutamate synthase family protein,Amino acid transport and metabolism,A0A0H2X016,Op1604
USA300HOU_RS13345,USA300HOU_RS13345,NC_010079.1,USA300HOU_2452,2590357,2591106,+,hypothetical protein,Function unknown,A0A0H2XEG2,Op1605
USA300HOU_RS13350,USA300HOU_RS13350,NC_010079.1,USA300HOU_2453,2591330,2592523,-,MFS transporter,Amino acid transport and metabolism,A0A0H2XJ04,Op1606
USA300HOU_RS13355,USA300HOU_RS13355,NC_010079.1,USA300HOU_2454,2592535,2593284,-,ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A0D6GY03,Op1606
USA300HOU_RS13360,USA300HOU_RS13360,NC_010079.1,USA300HOU_2455,2593277,2594092,-,ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A0E1VQ06,Op1606
USA300HOU_RS13365,USA300HOU_RS13365,NC_010079.1,USA300HOU_2456,2594089,2594958,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0E1VMU7,Op1606
USA300HOU_RS13370,USA300HOU_RS13370,NC_010079.1,USA300HOU_2457,2594955,2595890,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0E0VSU9,Op1606
USA300HOU_RS13375,cntA,NC_010079.1,USA300HOU_2458,2595903,2597501,-,staphylopine-dependent metal ABC transporter substrate-binding protein CntA,Amino acid transport and metabolism,A0A068A9N4,Op1606
USA300HOU_RS13380,cntM,NC_010079.1,USA300HOU_2459,2597644,2598945,-,staphylopine dehydrogenase CntM,Function unknown,A0A0G2LVZ8,Op1607
USA300HOU_RS13385,cntL,NC_010079.1,USA300HOU_2460,2598938,2599756,-,D-histidine (S)-2-aminobutanoyltransferase CntL,Function unknown,A0A0E1VQ10,Op1607
USA300HOU_RS13390,cntK,NC_010079.1,USA300HOU_2461,2599767,2600588,-,histidine racemase CntK,Amino acid transport and metabolism,A0A0H2WY40,Op1607
